index,corpus,source,id,sentence,token,time_start,time_end,start,end
2001,dialect_shetnevo_makeevo,20210706_lnt1950.eaf,444,В тридцать девять лет он мне помер.,помер,5806.151,5807.701,30,34
2002,dialect_shetnevo_makeevo,20230427apb1940_A.eaf,55,"Другая взялась, этого, меня .",взялась,432.1,441.9,62,68
2003,dialect_shetnevo_makeevo,20210706_lnt1950.eaf,576,"Не успеешь оглянуться, человек помер.",помер,6343.187,6345.687,46,50
2004,dialect_shetnevo_makeevo,20210707gip1953.eaf,23,Мне когда муж умер это двадцать лет ему будет в ...,умер,353.072,359.13,59,62
2005,dialect_shetnevo_makeevo,20210707gip1953.eaf,24,"... декабре он уже умер как умер, и держала при нем держала корову, а потом корова отелилась, тёлку держала, две держала.",умер,359.13,368.97,20,23
2006,dialect_shetnevo_makeevo,20210707gip1953.eaf,24,"... декабре он уже умер как умер, и держала при нем держала корову, а потом корова отелилась, тёлку держала, две держала.",умер,359.13,368.97,29,32
2007,dialect_shetnevo_makeevo,20210707gip1953.eaf,24,"... декабре он уже умер как умер, и держала при нем держала корову, а потом корова отелилась, тёлку держала, две держала.",умер,359.13,368.97,20,23
2008,dialect_shetnevo_makeevo,20210707gip1953.eaf,24,"... декабре он уже умер как умер, и держала при нем держала корову, а потом корова отелилась, тёлку держала, две держала.",умер,359.13,368.97,29,32
2009,dialect_shetnevo_makeevo,20210707gip1953.eaf,77,"Вот в ту деревню, там жила, Щелкино деревня, вот два километра, мы там жили раньше, и вот тут такой магазин стоял, где вот сейчас будочка , где ожидают автобус, тут на этом месте стоял магазин такой старенький и принимали вот яички.",жила,957.749,975.812,23,26
2010,dialect_shetnevo_makeevo,20210707gip1953.eaf,77,"Вот в ту деревню, там жила, Щелкино деревня, вот два километра, мы там жили раньше, и вот тут такой магазин стоял, где вот сейчас будочка , где ожидают автобус, тут на этом месте стоял магазин такой старенький и принимали вот яички.",жили,957.749,975.812,72,75
2011,dialect_shetnevo_makeevo,20210707gip1953.eaf,79,"Подружка у меня была, давно умерла, двадцать три года умерла, ровесница мне.",умерла,986.32,991.411,29,34
2012,dialect_shetnevo_makeevo,20210707gip1953.eaf,79,"Подружка у меня была, давно умерла, двадцать три года умерла, ровесница мне.",умерла,986.32,991.411,55,60
2013,dialect_shetnevo_makeevo,20210707gip1953.eaf,126,"Кто пожил, тот знает как.",пожил,1511.507,1525.061,73,77
2014,dialect_shetnevo_makeevo,20210713mga1932.eaf,385,"А его в армию взяли, парня.",взяли,1361.089,1362.879,15,19
2015,dialect_shetnevo_makeevo,20210707gip1953.eaf,233,"Туда я ходила раз в неделю, там жила одна бабка, она сейчас умерла.",умерла,2391.067,2401.61,161,166
2016,dialect_shetnevo_makeevo,20210707gip1953.eaf,240,"Люди отмерли, старики.",отмерли,2433.652,2436.712,6,12
2017,dialect_shetnevo_makeevo,20210707gip1953.eaf,263,Свет дали!,дали,,,,
2018,dialect_shetnevo_makeevo,20210707gip1953.eaf,263,Свет дали!',дали,2548.934,2556.76,51,54
2019,dialect_shetnevo_makeevo,20210707gip1953.eaf,370,"Она ездит к ба= к мамке, мамка в Щелкине жила у неё.",жила,3191.98,3195.05,42,45
2020,dialect_shetnevo_makeevo,20210707gip1953.eaf,456,"Молотили его, потом стлали, тягали, тягала я с= ходила с мамкой помогала, в поле тягали ручную.",стлали,3681.804,3688.716,21,26
2021,dialect_shetnevo_makeevo,20210707gip1953.eaf,597,"Раньше была у сестры, когда она там жила, а сейчас не.",жила,4408.754,4411.205,38,41
2022,dialect_shetnevo_makeevo,20210707gip1953.eaf,999,"Тань, - я говорю, - я не могу, я б их быстро выгнала.'",выгнала,,,,
2023,dialect_shetnevo_makeevo,20210707gip1953.eaf,613,"Тоже умер , вот...",умер,4495.032,4497.323,6,9
2024,dialect_shetnevo_makeevo,20210707gip1953.eaf,620,"Жалко, даже я плакала, как он умер .",умер,4534.72,4538.494,36,39
2025,dialect_shetnevo_makeevo,20210713mga1932.eaf,166,"С избы выгнали, из дому.",выгнали,587.925,589.295,8,14
2026,dialect_shetnevo_makeevo,20210713mga1932.eaf,169,Выгнали.,Выгнали,594.66,595.34,1,7
2027,dialect_shetnevo_makeevo,20210713mga1932.eaf,258,"И они = колхоз... их выгнали, и они не пошли.",выгнали,916.22,918.924,22,28
