index,corpus,source,id,sentence,token,time_start,time_end,start,end
3001,russian_l2_besermyan,AL-2010.07.06-MU-kubo-2.eaf,22,"Вот я сдала, сдала вот эти все.",сдала,40.365,42.5,14,18
3002,russian_l2_besermyan,AL-2010.07.06-MU-kubo-2.eaf,22,"Вот я сдала, сдала вот эти все.",сдала,40.365,42.5,7,11
3003,russian_l2_besermyan,AL-2010.07.06-MU-kubo-2.eaf,22,"Вот я сдала, сдала вот эти все.",сдала,40.365,42.5,14,18
3004,russian_l2_besermyan,AL-2016.07.27-MU-platok.eaf,109,А этот - спился и умер.,спился,124.435,127.015,10,15
3005,russian_l2_besermyan,AL-2016.10.22-TA-vedma.eaf,48,"пили, пили, умерли, и даже зять.",умерли,75.963,77.8,13,18
3006,russian_l2_besermyan,AL-2016.10.22-TA-vedma.eaf,48,"пили, пили, умерли, и даже зять.",пили,75.963,77.8,1,4
3007,russian_l2_besermyan,AL-2016.10.22-TA-vedma.eaf,48,"пили, пили, умерли, и даже зять.",пили,75.963,77.8,7,10
3008,russian_l2_besermyan,AL-2016.10.23-TA-den_teschi.eaf,28,Самогон пили?,пили,42.94,43.86,9,12
3009,russian_l2_besermyan,AL-2016.10.26-TA-spletni.eaf,14,"Это жена умерла, пила, пила, умерла.",пила,18.45,20.66,18,21
3010,russian_l2_besermyan,AL-2016.10.26-TA-spletni.eaf,14,"Это жена умерла, пила, пила, умерла.",пила,18.45,20.66,24,27
3011,russian_l2_besermyan,AL-2016.10.26-TA-spletni.eaf,14,"Это жена умерла, пила, пила, умерла.",пила,18.45,20.66,18,21
3012,russian_l2_besermyan,AL-2016.10.26-TA-spletni.eaf,14,"Это жена умерла, пила, пила, умерла.",пила,18.45,20.66,24,27
3013,russian_l2_besermyan,AL-2017.01.07-TA-sluchaj.eaf,36,"Да как тут даже, вроде, мы даже не пили.",пили,69.75,71.99,36,39
3014,russian_l2_besermyan,AP-2018.08.12-TA-traktora.eaf,22,"Продал ему, его поставили на продажу, пришёл посмотреть.",Продал,29.38,33.27,1,6
3015,russian_l2_besermyan,AL-2017.01.07-TA-sluchaj.eaf,46,"Ну она уже давно умерла -то уже, ой блин!",умерла,83.967,86.566,18,23
3016,russian_l2_besermyan,AL-2016.07.27-MU-platok.eaf,113,"И у них... лет, наверно, пять они жили, и у них детей даже не было.",жили,129.095,132.785,35,38
3017,russian_l2_besermyan,AL-2017.01.21-MU-sosedi.eaf,68,И ведь рано умерла.,умерла,88.88,90.26,13,18
3018,russian_l2_besermyan,AL-2017.01.21-MU-sosedi.eaf,72,"инсульт случилось, и сразу умерла.",умерла,92.695,94.705,28,33
3019,russian_l2_besermyan,SN-2014.08.07-MPa-skatert.eaf,23,Грибы сдали...,сдали,35.005,36.245,7,11
3020,russian_l2_besermyan,AL-2017.08.12-TA-seks.eaf,90,"Вот спала, говорит, и всё.",спала,102.295,105.085,31,35
3021,russian_l2_besermyan,AL-2016.07.27-MU-platok.eaf,96,"И свекровка бы ни за что тоже не взяла, зачем?",взяла,108.41,111.07,34,38
3022,russian_l2_besermyan,AL-2016.10.26-TA-spletni.eaf,82,"Ну мы, пятилитровую только Наташа взяла, и всё.",взяла,109.865,112.725,35,39
3023,russian_l2_besermyan,AL-2010.07.06-MU-kubo-1.eaf,24,"Вроде сдала я в музей дак, в музее что -то тоже нету.",сдала,32.57,35.719,7,11
3024,russian_l2_besermyan,AL-2016.07.27-MU-platok.eaf,109,А этот - спился и умер.,умер,124.435,127.015,19,22
3025,russian_l2_besermyan,AL-2019.04.15-YZ-bolezni_zhivotnyx.eaf,108,"Одна уже умерла, одна готовится.",умерла,143.47,145.49,10,15
3026,russian_l2_besermyan,SN-2014.08.07-MPa-pila.eaf,25,Продал даже.,Продал,43.59,44.65,1,6
3027,russian_l2_besermyan,SN-2014.08.07-MPa-skatert.eaf,27,"Жена сдала, или сам я специально килограмма полтора в лесу понагрёб, сдал.",сдала,41.85,47.27,6,10
3028,russian_l2_besermyan,AL-2014.08.20-TA_OS-sobiraem_jagody.eaf,374,"Маша звала работать,",звала,521.64,523.01,6,10
3029,russian_l2_besermyan,AL-2014.08.20-TA_OS-sobiraem_jagody.eaf,520,Так взяла и деньги ещё не дала.,взяла,716.37,718.17,5,9
3030,russian_l2_besermyan,AP-2010.07.10-MU-korka_kuzjo.eaf,4,"вон здесь вон старуха жила, ты должна помнить её.",жила,4.02,7.64,23,26
3031,russian_l2_besermyan,AP-2018.08.06-YZ-prospal.eaf,2,Тот раз на концерт проспал,проспал,1.31,3.87,20,26
3032,russian_l2_besermyan,AP-2016.10.24-TA-strojka_kluba.eaf,97,Выжила.,Выжила,127.11,127.84,1,6
3033,russian_l2_besermyan,AL-2016.07.27-MU-platok.eaf,30,"Ээ... были ли у вас уже в гостях, позвали ли уже",позвали,34.105,38.025,35,41
3034,russian_l2_besermyan,AP-2018.08.12-TA-traktora.eaf,28,Свой трактор он продал куда -то Красногорский район.,продал,39.355,41.715,17,22
3035,russian_l2_besermyan,AP-2018.08.07-TA-predsedateli.eaf,18,"бывший пред -то, старый -то, умер.",умер,28.535,30.985,30,33
3036,russian_l2_besermyan,AP-2016.10.20-TA-dengi.eaf,36,"Давление поднялось у меня резко, сто восемьдесят.",поднялось,47.01,50.535,38,46
3037,russian_l2_besermyan,AP-2018.08.12-TA-griby.eaf,30,"Много собрал, да.",собрал,48.812,49.58,7,12
3038,russian_l2_besermyan,AP-2018.08.03-YZ-fantomas.eaf,30,"брёвна были, там сидим, и дак почтальонка пришла, дала газеты.",дала,51.065,54.855,51,54
3039,russian_l2_besermyan,AP-2017.08.13-TA-pakosti-1.eaf,57,"Один кочан взяли, поднялись туда, где разнарядка дают.",взяли,59.53,62.44,12,16
3040,russian_l2_besermyan,AP-2017.08.13-TA-pakosti-1.eaf,59,"Туда подняли, там мы её поели.",подняли,62.56,65.01,6,12
3041,russian_l2_besermyan,AP-2018.08.12-TA-obmorozhenie.eaf,44,"Получка была, что, мы с ним нажрались.",нажрались,63.048,64.948,29,37
3042,russian_l2_besermyan,AP-2018.08.12-TA-traktora.eaf,30,"Соседний район, так, туда продал он.",продал,42.335,44.565,27,32
3043,russian_l2_besermyan,AP-2018.08.06-YZ-gorod.eaf,32,Понял.,Понял,71.946,72.916,1,5
3044,russian_l2_besermyan,AL-2014.08.05-IZ-smert.eaf,38,"Мы дали много таких,",дали,58.915,60.845,4,7
3045,russian_l2_besermyan,AP-2017.08.13-TA-zaikanie.eaf,62,"эту, горку поднялся и огородами пошёл домой.",поднялся,88.9,91.42,12,19
3046,russian_l2_besermyan,AP-2016.10.20-TA-dengi.eaf,38,"Потом дали мне бумажку: надо, говорит, ехать на операцию.",дали,51.6,54.4,7,10
3047,russian_l2_besermyan,AP-2012-EVo-pil.eaf,24,"Выпил - бутылку выкинул в окно, поехал дальше, всё.",Выпил,27.395,29.815,1,5
3048,russian_l2_besermyan,AP-2012-EVo-pil.eaf,100,"Утром встаю, полковша воды выпил -",выпил,150.47,152.82,28,32
3049,russian_l2_besermyan,AP-2019.07.12-TA-bolnicy.eaf,73,Как умер человек в больнице.,умер,109.28,110.86,5,8
3050,russian_l2_besermyan,AP-2018.08.12-TA-obmorozhenie.eaf,88,Она умерла уже сейчас.,умерла,122.221,123.421,5,10
3051,russian_l2_besermyan,AP-2019.07.10-TA-gruppa.eaf,44,"Если бы пихнул, без ничего бы дали сразу вторую группу.",дали,67.585,71.805,31,34
3052,russian_l2_besermyan,AP-2018.08.12-TA-obmorozhenie.eaf,96,"туда зашёл, они уже спали, разбудил я их, зашёл к ним,",спали,134.846,138.246,21,25
3053,russian_l2_besermyan,AP-2017.01.03-TA-mashiny.eaf,111,"Ну это, ребятам, с кем пили, я говорю:",пили,141.7,144.1,24,27
3054,russian_l2_besermyan,AP-2017.01.03-TA-mashiny.eaf,115,С преподавателем мы пили постоянно там.,пили,145.445,147.775,21,24
3055,russian_l2_besermyan,AL_AP-2016.08.02-MU-travy.eaf,47,Чай пить мама пе дала.,дала,71.02,75.54,18,21
3056,russian_l2_besermyan,AP-2018.08.12-TA-obmorozhenie.eaf,84,Там жила,жила,115.502,116.459,5,8
3057,russian_l2_besermyan,AP-2016.10.24-TA-strojka_kluba.eaf,121,"он здесь вон умер, этот му= муж у неё.",умер,159.565,161.985,14,17
3058,russian_l2_besermyan,AP-2016.10.24-TA-strojka_kluba.eaf,132,"Умер вон от пьянки', и всё.",Умер,173.93,175.88,1,4
3059,russian_l2_besermyan,AP-2017.01.09-TA-odekolon.eaf,138,А я бутылку уже выпил было.,выпил,185.719,187.464,17,21
3060,russian_l2_besermyan,AP-2012-EVo-pil.eaf,190,"А мужик - что: нажрался, выспался, утром встал, ушёл - всё, не надо больше уже.",нажрался,296.35,300.828,16,23
3061,russian_l2_besermyan,AS-2017.01.05-YZ-pear_story.eaf,132,И ничего не понял он: куда делась одна корзина?,понял,175.29,178.41,13,17
3062,russian_l2_besermyan,AP-2016.10.20-TA-individualizm.eaf,68,"Продал я его за девяносто, купил другой.",Продал,83.67,86.5,1,6
3063,russian_l2_besermyan,AS-2018.08.09-YZ-karyer.eaf,146,наполовину мы ссуду брали.,брали,257.971,260.1,21,25
3064,russian_l2_besermyan,IM-2018.08.08-YZ-volki.eaf,18,"Думаю, в обед быстренько схожу, банку взяла, и вечером, говорю, ничего уже не, не буду готовить, мужу говорю.",взяла,27.055,33.102,39,43
3065,russian_l2_besermyan,AP-2017.01.03-TA-mashiny.eaf,70,"Когда, говорит, сервис есть, сто рублей от= отдал - там тебе заменят'.",отдал,86.55,89.892,45,49
3066,russian_l2_besermyan,AS-2017.08.13-MU-insult.eaf,16,"Что, десять лет, двенадцать прожил дак.",прожил,18.22,20.22,29,34
3067,russian_l2_besermyan,AP-2016.10.20-TA-individualizm.eaf,74,Продал.,Продал,94.64,95.37,1,6
3068,russian_l2_besermyan,AP-2018.08.12-TA-traktora.eaf,74,"Снова, говорит, купил поменьше, продал подороже.",продал,101.67,104.16,33,38
3069,russian_l2_besermyan,NV-2017.01.07-TA-shishki.eaf,21,"Вот, Лена взяла:",взяла,37.05,41.835,11,15
3070,russian_l2_besermyan,AS-2010.07.13-MU-sabantuj.eaf,18,"Шес= шестьдесят регионов, что ли, назвали, ну как бы у них вот такой масштаб широкий.",назвали,32.06,37.67,35,41
3071,russian_l2_besermyan,NV-2014.08.10-MU-ploxie_mesta.eaf,81,"Если что -то где -то вот сорвал, сломал, тогда это под мышкой.",сорвал,103.65,108.16,26,31
3072,russian_l2_besermyan,NV-2017.01.05-TA-sovety.eaf,153,"Я никогда его не ждала, ну что вот, пьяный придёт и будет драться.",ждала,167.84,171.497,18,22
3073,russian_l2_besermyan,NV-2016.01.12-AA-podzyv_zhivotnyx.eaf,78,"Звали так: 'Рюк-рюк-рюк-рюк-рюк', да, да.",Звали,90.32,93.35,1,5
3074,russian_l2_besermyan,NV-2017.01.05-TA-sovety.eaf,238,"А, поняла.",поняла,260.805,261.445,4,9
3075,russian_l2_besermyan,RA-2016.01.08-AA-za_vodoj.eaf,2,"Взяла коромысла, вёдра и пошла,",Взяла,0.03,2.07,1,5
3076,russian_l2_besermyan,NV-2016.01.12-AA-podzyv_zhivotnyx.eaf,138,"Да, вот так вот звали, обязательно так звали.",звали,171.645,175.105,17,21
3077,russian_l2_besermyan,NV-2016.01.12-AA-podzyv_zhivotnyx.eaf,138,"Да, вот так вот звали, обязательно так звали.",звали,171.645,175.105,40,44
3078,russian_l2_besermyan,RA-2016.01.08-AA-zolotaya_rybka.eaf,9,подош= нато= приплыла к нему и говорит:,приплыла,11.21,15.76,14,21
3079,russian_l2_besermyan,RA-2016.01.08-AA-za_vodoj.eaf,16,"Там и в ванную, котёл уже налила,",налила,15.4,18.17,27,32
3080,russian_l2_besermyan,RA-2016.10.26-TA-tyazhelaya_noga.eaf,20,"Я поняла, что они поросёнка несут, муж с женой.",поняла,23.06,26,3,8
3081,russian_l2_besermyan,RA-2016.01.08-AA-za_vodoj.eaf,34,Я взяла коромысло,взяла,38.37,39.97,3,7
3082,russian_l2_besermyan,RA-2014.08.14-RI-tpruch.eaf,28,"И он так погнал корову, так мне интересно было.",погнал,44.9,48.69,23,28
3083,russian_l2_besermyan,RA-2016.01.08-AA-zolotaya_rybka.eaf,31,хвостом и уплыла к себе.,уплыла,49.34,52.17,11,16
3084,russian_l2_besermyan,RA-2016.01.08-AA-za_vodoj.eaf,66,"Я это, обратно вернулась, вёдра взяла.",взяла,86.095,88.455,33,37
3085,russian_l2_besermyan,NV-2016.01.12-AA-podzyv_zhivotnyx.eaf,145,А цыпляток звали: 'тю-тю-тю-тю-тю-тю-тю-тю'.,звали,181.14,183.83,12,16
3086,russian_l2_besermyan,RA-2016.10.23-TA-starost.eaf,69,"Она только была, видимо, посмотрела и поднялась.",поднялась,89.21,93.58,64,72
3087,russian_l2_besermyan,SA-2004.06.22-MU_Nvb-volk.eaf,256,"Ну, чтобы не умер= не умерла овечка.",умерла,295.92,299.175,37,42
3088,russian_l2_besermyan,SN-2012-EVo-biografiya.eaf,16,"Не да= давали, а отец умер,",умер,21.61,23.72,23,26
3089,russian_l2_besermyan,NV-2017.01.05-TA-sovety.eaf,347,"Мы тоже со снохой жили, семь лет.",жили,364.74,366.86,19,22
3090,russian_l2_besermyan,SN-2012-EVo-remeshok.eaf,24,"Ну, конечно порвалось, сломалось.",порвалось,39.435,41.205,13,21
3091,russian_l2_besermyan,SN-2012-EVo-biografiya.eaf,76,"Кому продали, где продали -",продали,110.68,112.57,6,12
3092,russian_l2_besermyan,SN-2012-EVo-biografiya.eaf,76,"Кому продали, где продали -",продали,110.68,112.57,19,25
3093,russian_l2_besermyan,SN-2012-EVo-biografiya.eaf,76,"Кому продали, где продали -",продали,110.68,112.57,6,12
3094,russian_l2_besermyan,SN-2012-EVo-biografiya.eaf,76,"Кому продали, где продали -",продали,110.68,112.57,19,25
3095,russian_l2_besermyan,SN-2012-EVo-trojki.eaf,28,забрали и всё.,забрали,57.585,59.595,2,8
3096,russian_l2_besermyan,SN-2012-EVo-sherst.eaf,30,А ведь мы жили при коммунизме.,жили,74.85,76.79,11,14
3097,russian_l2_besermyan,AP-2018.08.12-TA-traktora.eaf,80,И продал подороже.,продал,108.33,109.32,3,8
3098,russian_l2_besermyan,AL-2017.01.07-TA-solenoe_myaso.eaf,84,и мне такой наказ дала: мне обязательно.,дала,94.905,97.995,19,22
3099,russian_l2_besermyan,VM-2010.07.20-MU-polati.eaf,12,спали.,спали,14.095,14.785,1,5
3100,russian_l2_besermyan,VM-2012-EVo-kapusta.eaf,45,"Некоторые держат, но у нас такого мастера нету уже, умер.",умер,111.19,116.75,53,56
3101,russian_l2_besermyan,SN-2014.08.07-MPa-pila.eaf,85,"Так и зажило, и никаких больничных, никаких этих.",зажило,124.635,127.545,7,12
3102,russian_l2_besermyan,VM-2010.07.12-MU-imena-2.eaf,112,И умер.,умер,165.25,166.03,3,6
3103,russian_l2_besermyan,VM-2012-EVo-lednik.eaf,66,Так и умерла.,умерла,185.27,186.645,7,12
3104,russian_l2_besermyan,VM-2010.07.11-MU-imena-1.eaf,140,"говорить, как умерли они.",умерли,229.43,231.17,15,20
3105,russian_l2_besermyan,VM-2010.07.15-MU-len.eaf,160,"порвал, всё.",порвал,392.763,394.343,1,6
3106,russian_l2_besermyan,IM-2017.01.04-YZ-pear_story.eaf,84,"сказали, что вот, как бы, панаму нашли, и да= этот, преда= отдали, короче.",отдали,196.86,203.13,60,65
3107,russian_l2_besermyan,VM-2010.07.11-MU-imena-1.eaf,316,здесь же дома жила.,жила,511.15,512.78,15,18
3108,russian_l2_besermyan,VM-2010.07.11-MU-imena-1.eaf,320,"Здесь же дома жила, вместе они.",жила,513.75,516.56,15,18
3109,russian_l2_besermyan,VM-2010.07.12-MU-imena-2.eaf,604,тоже умер.,умер,815.52,816.4,6,9
3110,russian_l2_besermyan,VM-2010.07.12-MU-imena-2.eaf,710,"Участник войны, умер уже здесь.",умер,948.92,951.39,17,20
3111,russian_l2_besermyan,VM-2010.07.12-MU-imena-2.eaf,900,И Кировский область умер.,умер,1189.87,1191.69,21,24
3112,russian_l2_besermyan,NV-2014.08.17-MU-klubnika.eaf,115,Вот моя бабушка бы увидела: 'зӧк узө' она бы назвала викторию.,назвала,106.83,110.8,46,52
3113,russian_l2_besermyan,NV-2014.08.17-MU-klubnika.eaf,123,"Да, и так же бы назвала клубнику.",назвала,115.05,117.01,17,23
3114,russian_l2_besermyan,AP-2018.08.12-TA-traktora.eaf,92,За девяносто продал.,продал,126.77,127.97,14,19
3115,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,16,"И во время Первой мировой войны, ее звали.. вообще -то у нее была фамилия Щиманяк.",звали,29.035,36.416,37,41
3116,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,18,Щиманяк Маняша звали ее.,звали,36.803,39.219,16,20
3117,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,45,"Сначала он, видно, это, в части жил, что ли, жила, жила, что точно я не знаю",жила,93.882,98.2,46,49
3118,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,45,"Сначала он, видно, это, в части жил, что ли, жила, жила, что точно я не знаю",жила,93.882,98.2,52,55
3119,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,45,"Сначала он, видно, это, в части жил, что ли, жила, жила, что точно я не знаю",жила,93.882,98.2,46,49
3120,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,45,"Сначала он, видно, это, в части жил, что ли, жила, жила, что точно я не знаю",жила,93.882,98.2,52,55
3121,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,53,"Она жила в его семье, нянчила детей, смотрела за детьми маленькими и научилась там шить",жила,115.863,126.815,5,8
3122,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,55,"И вот когда с войны возвращался дедушка, он забрал ее и привез сюда к нам в наше село",забрал,128.606,138.226,45,50
3123,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,63,"Конечно, сейчас никого из дочерей и сыновей не осталось - все умерли.",умерли,149.415,155.999,63,68
3124,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,90,"летом жила в деревне, ухаживала, смотрела за внучатами",жила,236.977,243.395,7,10
3125,russian_l2_chuvash,aij1955_20170808_AlevIvan_MF_Polish_grandma_rus.eaf,108,"бабушка умерла у нас, вот, года, больше 10 лет, около 20 лет похоронена",умерла,323.016,330.692,9,14
3126,russian_l2_chuvash,asg1937_20170807_AnfStep_KI_RusText_01.eaf,218,"место дали, раньше ведь народу много было-то",дали,255.86,258.46,7,10
3127,russian_l2_chuvash,asg1937_20170807_AnfStep_KI_RusText_01.eaf,228,дали место да там переселились,дали,268.48,270.53,1,4
3128,russian_l2_chuvash,asg1937_20170807_AnfStep_KI_RusText_01.eaf,238,родители на главной улице здесь жили,жили,282.805,285.575,33,36
3129,russian_l2_chuvash,asg1937_20170807_AnfStep_KI_RusText_01.eaf,244,вот на том улице жили,жили,290.275,291.715,18,21
3130,russian_l2_chuvash,asg1937_20170807_AnfStep_KI_RusText_01.eaf,302,"ну, в наше время очень бедно жили ведь, хлеба -то нету, только картошка, так гнилую картошку кушали",жили,362.36,368.07,30,33
